Date,Open,High,Low,Close,Adj Close,Volume,SMA(open)5D,TMA 30D,SMA(high)5D,TMA 30D,SMA(low)5D,TMA 30D,SMA(close)5D,TMA 30D,SMA(adjclose)5D,TMA 30D,SMA(volume)5D,TMA 30D
2020-11-11,2089,2095,1978.099976,1997.199951,1990.795654,26178477,1984.21001,2153.549332,2017.78999,2175.971997,1964.869995,2117.902004,2006.519995,2138.406332,2000.085864,2131.549286,23705615.8,15477067.71
2020-11-12,1981,2008.449951,1965,1980,1973.650879,18481466,2034.61001,2145.283666,2050.98999,2168.36133,1993.08999,2110.349336,2023.319995,2131.683,2016.831983,2124.847512,21540689,15788374.78
2020-11-13,1982,2036.650024,1981.75,1996.400024,1989.998291,20946864,2039.82002,2139.044667,2060.48999,2161.943996,1999.68999,2103.639334,2028.319995,2125.293666,2021.815943,2118.478666,21802927.4,16055052.9
2020-11-14,null,null,null,null,null,null,2038.22002,2132.979335,2059.819995,2155.908328,2000.409985,2097.018,2021.769995,2119.047332,2015.286939,2112.252362,19838284.2,16387463.07
2020-11-17,2085,2085,1985,1993.25,1986.858398,21479385,2032.25,2126.488002,2057.524994,2149.598328,1991.512482,2090.167665,2014.537506,2112.288998,2008.077637,2105.515699,20662988.5,16682207.69
2020-11-18,1993.25,2006.5,1960.099976,1987.199951,1980.827759,14030652,2034.25,2119.431002,2056.274994,2142.969494,1977.462494,2082.762748,1991.712494,2105.219581,1985.325806,2098.468951,21771548,17033523.52
2020-11-19,1987.199951,2010.449951,1968.199951,1973.150024,1966.822876,12828008,2010.3125,2112.452335,2034.149994,2136.326329,1972.962494,2074.925498,1989.212494,2097.428663,1982.833832,2090.703014,18734591.75,17425651.55
2020-11-20,1975,1983.800049,1895,1899.5,1893.409058,26522972,2011.862488,2104.609084,2034.649994,2128.645663,1973.762482,2066.913248,1987.5,2089.471412,1981.126831,2082.771279,17321227.25,17632467.58
2020-11-23,1951,1970,1926.25,1950.699951,1944.444824,20918665,2010.112488,2096.824167,2021.4375,2120.974997,1952.074982,2058.946998,1963.274994,2081.424411,1956.979523,2074.750082,18715254.25,17802593.21
2020-11-24,1964,1974,1932,1964.050049,1957.752075,14277083,1998.28999,2089.172917,2011.15,2112.935915,1946.909985,2050.237163,1960.759985,2072.515244,1954.472583,2065.869484,19155936.4,18026071.15
2020-11-25,1980,1992.949951,1942.199951,1947.800049,1941.554199,15062376,1974.08999,2081.187583,1988.95,2104.509915,1936.309985,2041.220162,1954.919995,2063.356577,1948.651318,2056.740185,17715476,18278687.51
2020-11-26,1953.050049,1965,1930.050049,1952.599976,1946.338745,11924527,1971.43999,2072.359915,1986.23999,2094.998249,1932.72998,2031.688493,1947.040015,2053.534243,1940.796606,2046.949348,17921820.8,18468828.71
2020-11-27,1940.5,1956.099976,1921.400024,1929.800049,1923.611938,21845931,1964.61001,2063.151248,1977.15,2085.429582,1925.1,2021.714157,1942.930005,2043.249244,1936.69978,2036.697329,17741124.6,18747160.81
2020-12-01,1940.349976,1966.25,1930.050049,1954.900024,1948.63147,9114939,1957.71001,2053.508249,1971.609985,2075.411248,1930.380005,2011.666156,1948.990015,2033.045578,1942.740356,2026.526383,16805716.4,19022674.39
2020-12-02,1958.5,1962,1935,1958.150024,1951.870972,10240168,1955.580005,2043.768582,1970.859985,2065.344915,1931.140015,2002.090489,1949.830029,2023.428245,1943.577685,2016.939889,14444971.2,19257660.47
2020-12-03,1972,1981.099976,1958.650024,1964.050049,1957.752075,12822945,1954.480005,2034.257582,1968.459985,2055.433914,1931.740015,1993.014157,1948.650024,2014.24458,1942.401465,2007.785674,13637588.2,19361732
2020-12-04,1969,1969,1940,1946.75,1940.507568,8521388,1952.880005,2025.053916,1966.08999,2046.061248,1935.030029,1984.448492,1951.900024,2005.853581,1945.64104,1999.421584,13189702,19453134.87
2020-12-07,1940.599976,1965,1940.599976,1958.199951,1951.920776,8418767,1956.069995,2016.536249,1966.88999,2037.356248,1937.020019,1977.130828,1950.730029,1998.656915,1944.474805,1992.247996,12509074.2,19507024.53
2020-12-08,1961.150024,2014.25,1950,1993.75,1987.356812,20030506,1956.08999,2009.208916,1968.669995,2029.727914,1940.86001,1970.57283,1956.41001,1992.084917,1950.136572,1985.697071,9823641.4,19505103.17
2020-12-09,2009.949951,2033.800049,1999.25,2026.949951,2020.450317,13464375,1960.25,2002.608916,1978.269995,2022.808914,1944.85,1964.651165,1964.180005,1986.120584,1957.881641,1979.751863,12006754.8,19408010.85
2020-12-10,2021.599976,2028.5,2001,2007,2000.564331,7414229,1970.53999,1996.734917,1992.630005,2017.054915,1957.7,1959.773499,1977.93999,1981.395917,1971.59751,1975.042345,12651596.2,19364847.39
2020-12-11,2013,2038,1974.25,2005.800049,1999.368286,12434745,1980.459985,1992.164584,2002.11001,2012.667248,1966.169995,1956.305833,1986.52998,1977.93925,1980.159961,1971.596761,11569853,19287809.1
2020-12-14,2007.949951,2015,1986.349976,1991.300049,1984.914673,7989830,1989.259985,1988.766251,2015.91001,2009.490915,1973.019995,1953.722833,1998.33999,1975.52325,1991.932104,1969.188507,12352524.4,19187506.41
2020-12-15,1989.699951,1989.699951,1961.099976,1974.349976,1968.019043,8561406,2002.72998,1986.530584,2025.91001,2007.377915,1982.169995,1952.034833,2004.96001,1974.034583,1998.530884,1967.704614,12266737,19113744.75
2020-12-16,1988,1994.949951,1965.699951,1976.550049,1970.212036,8565904,2008.439966,1985.227249,2021,2006.064248,1984.38999,1951.149166,2001.080005,1973.156917,1994.66333,1966.829763,9972917,19004512.59
2020-12-17,1984.5,2005,1977.150024,1985.599976,1979.23291,9346460,2004.049976,1984.613914,2013.22998,2005.08658,1977.679981,1951.399832,1991.000025,1973.160917,1984.615674,1966.833752,8993222.8,18627935.79
2020-12-18,1980.099976,2004.900024,1965,1991.550049,1985.16394,8522215,1996.62998,1984.820247,2008.52998,2004.855579,1972.909985,1952.559497,1986.72002,1974.056252,1980.34939,1967.726216,9379669,18058061.43
2020-12-21,2010,2022,1855.25,1939.699951,1933.480103,20368545,1990.049976,1986.144579,2001.909985,2005.325911,1971.059985,1954.696163,1983.87002,1975.46392,1977.50852,1969.12937,8597163,17346447.39
2020-12-22,1949,1958.900024,1888.449951,1936.699951,1930.489746,12986606,1990.459985,1987.529912,2003.309985,2006.115911,1944.83999,1957.164496,1973.55,1977.255921,1967.221606,1970.915625,11072906,16588597.44
2020-12-23,1930,1951.449951,1920.650024,1943.849976,1937.616821,8999898,1982.319995,1989.218912,1997.15,2007.11991,1930.309985,1959.049829,1966.019995,1978.872921,1959.715747,1972.527441,11957946,15812811.37
2020-12-24,1947,1998.800049,1945.900024,1994.150024,1987.755615,9588577,1970.719995,1990.402578,1988.45,2007.638577,1921.3,1959.271828,1959.479981,1979.083921,1953.196704,1972.737764,12044744.8,15261982.22
2020-12-28,2006.699951,2018,1995.300049,2003.300049,1996.876221,7947719,1963.219995,1989.952911,1987.21001,2006.660578,1915.05,1957.819495,1961.18999,1977.515921,1954.901245,1971.174792,12093168.2,14873286.52
2020-12-29,2009,2012.300049,1982.550049,1990.050049,1983.668701,8589407,1968.53999,1987.573244,1989.830005,2004.534578,1921.11001,1955.218162,1963.53999,1975.444921,1957.243701,1969.110435,11978269,14558369.16
2020-12-30,1995.25,2007.199951,1975.550049,1995.5,1989.101196,10173132,1968.33999,1985.197243,1987.890015,2002.179246,1946.570019,1952.598829,1973.61001,1973.285587,1967.281421,1966.958026,9622441.4,14230880.55
2020-12-31,1993.5,2011.900024,1978.599976,1985.300049,1978.93396,8667516,1977.58999,1982.867909,1997.55,1999.78158,1963.990039,1950.804164,1985.37002,1971.680254,1979.003711,1965.357843,9059746.6,13890352.45
2021-01-01,1988,1997,1982,1987.5,1981.126831,4622002,1990.28999,1981.045908,2009.640015,1997.782413,1975.580029,1949.886749,1993.660034,1970.708005,1987.267139,1964.388712,8993270.2,13503577.72
2021-01-04,1995.099976,1998.900024,1968,1990.849976,1984.466064,11312992,1998.48999,1979.580575,2009.280005,1996.227914,1982.800025,1949.824,1992.330029,1970.772923,1985.941382,1964.453423,7999955.2,13077635.13
2021-01-05,1969,1983.599976,1956,1966.099976,1959.79541,11132803,1996.169995,1979.186491,2005.46001,1995.398914,1977.340015,1950.151918,1989.840015,1970.876841,1983.45935,1964.557008,8673009.8,12719813.91
2021-01-06,1965.900024,1966,1905.150024,1914.25,1908.111694,21414270,1988.169995,1978.663408,1999.719995,1994.425915,1972.030005,1950.271169,1985.05,1970.954841,1978.684692,1964.634758,9181689,12431540
2021-01-07,1920.5,1945,1905.150024,1911.150024,1905.021729,14918406,1982.3,1977.931991,1991.480005,1993.701998,1957.95,1950.936336,1968.8,1971.680675,1962.486792,1965.358264,11429916.6,12113754.49
2021-01-08,1918,1938.400024,1912.099976,1933.699951,1927.499268,12709792,1967.7,1977.398992,1978.1,1993.046331,1943.26001,1951.304337,1953.969995,1971.948675,1947.704346,1965.625404,12680094.6,11856220.49
2021-01-11,1938.800049,1938.800049,1892.5,1897.25,1891.16626,15371556,1953.7,1977.185992,1966.380005,1992.684665,1929.280005,1951.536004,1943.209985,1971.917009,1936.978833,1965.593839,14297652.6,11688374.45
2021-01-12,1903,1960,1899.900024,1957.050049,1950.774536,18996047,1942.440015,1976.594659,1954.36001,1992.022665,1914.180005,1951.421005,1924.48999,1971.789341,1918.318872,1965.46658,15109365.4,11567568.84
2021-01-13,1963.550049,1974.949951,1918.449951,1938.800049,1932.58313,12284876,1929.240015,1975.855659,1949.640015,1991.262999,1902.96001,1951.057005,1922.680005,1971.174674,1916.514697,1964.853883,16682014.2,11479843.53
2021-01-14,1945,1966.900024,1939.050049,1960.599976,1954.31311,9946818,1928.77002,1974.906659,1951.430005,1990.530666,1905.619995,1950.143005,1927.590015,1970.297673,1921.408985,1963.979694,14856135.4,11475720.13
2021-01-15,1960.599976,1973.800049,1920.050049,1937.449951,1931.237305,9503790,1933.67002,1974.012993,1955.81001,1989.883,1912.4,1949.292338,1937.480005,1969.55634,1931.267261,1963.240737,13861817.8,11489425.6
2021-01-18,1949.099976,1997,1923.349976,1983.949951,1977.588257,16198856,1942.190015,1973.319327,1962.890015,1989.461335,1913.990015,1948.647671,1938.230005,1969.184006,1932.014868,1962.869597,13220617.4,11496899.92
